"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"Noggin.2735.6.4","2735-6_4","Noggin",259.000140694793,2.38,0.04,2.629,NA,4.5801,NA,NA,24,2.629,2.629,2.629,2.73,2.709,2.748,154
"NovH.2737.22.2","2737-22_2","NovH",410.771212553388,2.56,0.02,NA,NA,5.4454,NA,NA,168,2.594,2.622,2.608,2.864,2.829,2.885,155
"Siglec.6.2741.22.2","2741-22_2","Siglec-6",284.970562734115,2.53,0.03,NA,NA,6.4903,NA,NA,168,2.296,2.393,2.362,2.791,2.765,2.815,156
"Siglec.7.2742.68.2","2742-68_2","Siglec-7",1067.57894509949,3.1,0.02,NA,NA,4.9393,NA,NA,168,2.85,2.931,2.892,3.263,3.236,3.302,157
"Sonic.Hedgehog.2743.5.2","2743-5_2","Sonic Hedgehog",1449.77297542214,3.18,0.04,NA,NA,7.9367,NA,NA,168,2.902,2.998,2.972,3.438,3.419,3.46,158
"IgG.2744.57.2","2744-57_2","IgG",197469.487940933,5.29,0.04,5.387,5.226,3.9106,NA,NA,168,5.089,5.203,5.179,5.417,5.404,5.436,159
"TSLP.R.2746.56.1","2746-56_1","TSLP R",971.627951577106,2.93,0.03,NA,NA,9.2149,NA,NA,168,3.056,3.077,3.069,3.39,3.378,3.417,160
"ULBP.3.2747.3.2","2747-3_2","ULBP-3",561.306407675202,2.69,0.02,NA,NA,6.8811,NA,NA,168,2.791,2.867,2.838,3.447,3.415,3.491,161
"Activin.A.2748.3.2","2748-3_2","Activin A",6185.85876491785,3.81,0.02,NA,NA,8.3106,NA,NA,168,3.443,3.508,3.481,4.158,4.125,4.193,162
"Apo.A.I.2750.3.2","2750-3_2","Apo A-I",21217.7828314466,4.39,0.03,NA,NA,5.5706,NA,NA,168,4.119,4.174,4.159,4.457,4.442,4.492,163
"Azurocidin.2751.16.2","2751-16_2","Azurocidin",176.319359682383,2.25,0.02,NA,NA,4.1383,NA,NA,168,2.318,2.401,2.376,2.917,2.86,2.985,164
"BMP.14.2752.62.2","2752-62_2","BMP-14",676.394394809602,2.88,0.08,3.195,2.885,3.8288,NA,NA,168,2.861,2.907,2.888,3.183,3.162,3.247,165
"C1q.2753.2.2","2753-2_2","C1q",44586.1527948071,4.67,0.04,NA,4.603,4.4497,NA,NA,33,4.232,4.4,4.345,4.603,4.603,4.603,166
"C3.2754.50.2","2754-50_2","C3",113318.286793069,5.03,0.11,5.321,4.876,4.0956,NA,NA,168,4.572,4.906,4.844,5.291,5.278,5.318,167
"C3adesArg.2755.8.2","2755-8_2","C3adesArg",217520.403401952,5.35,0.06,5.464,5.211,3.9161,NA,NA,168,5.213,5.257,5.242,5.429,5.408,5.457,168
"DRR1.2760.2.2","2760-2_2","DRR1",390.121602952676,2.53,0.02,NA,NA,4.4247,NA,NA,168,2.564,2.577,2.574,2.725,2.717,2.763,169
"FGF.18.2761.49.2","2761-49_2","FGF-18",315.573117368002,2.39,0.02,NA,NA,5.7898,NA,NA,168,2.303,2.376,2.366,2.681,2.657,2.702,170
"FGF.19.2762.30.2","2762-30_2","FGF-19",10399.2016582906,3.74,0.02,NA,NA,4.6603,NA,NA,168,3.231,3.336,3.305,4.418,4.371,4.524,171
"FGF.20.2763.66.2","2763-66_2","FGF-20",399.668573114468,2.53,0.03,NA,NA,4.9754,NA,NA,168,2.501,2.529,2.518,2.899,2.828,2.923,172
"FGF9.2764.20.2","2764-20_2","FGF9",355.631318568985,2.51,0.02,2.691,NA,3.8991,NA,NA,33,2.691,2.691,2.691,2.761,2.742,2.775,173
"GDF.11.2765.4.3","2765-4_3","GDF-11",816.770418046986,2.86,0.02,NA,NA,6.2619,NA,NA,168,2.864,2.908,2.894,3.297,3.274,3.339,174
"Hemopexin.2768.56.2","2768-56_2","Hemopexin",1060.71814963531,2.66,0.03,NA,NA,9.212,NA,NA,168,2.184,2.446,2.313,3.415,3.395,3.459,175
"HIV.2.Rev.2769.3.2","2769-3_2","HIV-2 Rev",142.659270864775,2.11,0.02,NA,NA,5.4027,NA,NA,168,2.154,2.174,2.164,2.369,2.338,2.386,176
"I.309.2770.51.2","2770-51_2","I-309",1992.0489224688,3.33,0.03,NA,NA,6.2999,NA,NA,168,3.187,3.216,3.201,3.53,3.518,3.575,177
"IGFBP.1.2771.35.2","2771-35_2","IGFBP-1",1454.11917037518,2.9,0.01,NA,NA,5.1371,NA,NA,168,2.237,2.298,2.272,3.423,3.34,3.494,178
"IL.10.2773.50.2","2773-50_2","IL-10",373.422085430343,2.46,0.02,NA,NA,4.6694,NA,NA,168,2.467,2.491,2.477,2.725,2.696,2.762,179
"IL.16.2774.10.3","2774-10_3","IL-16",1685.00036778183,3.27,0.03,NA,NA,4.187,NA,NA,168,3.044,3.179,3.137,3.509,3.49,3.553,180
"IL.17F.2775.54.2","2775-54_2","IL-17F",1000.69101416826,2.82,0.03,NA,NA,4.7754,NA,NA,168,2.808,2.838,2.824,3.115,3.084,3.156,181
"IL.22.2778.10.2","2778-10_2","IL-22",853.100114017589,3.39,0.03,NA,NA,3.5062,NA,NA,168,2.929,2.962,2.947,3.373,3.348,3.478,182
"Lactoferrin.2780.35.2","2780-35_2","Lactoferrin",58640.8153276476,4.79,0.02,NA,NA,6.8993,NA,NA,168,4.389,4.457,4.413,4.959,4.929,4.998,183
"LAG.1.2781.63.2","2781-63_2","LAG-1",416.773406797672,2.77,0.03,NA,NA,4.1979,NA,NA,168,2.544,2.6,2.564,3.045,3.01,3.123,184
"LD78.beta.2783.18.2","2783-18_2","LD78-beta",1683.06155570166,3.22,0.03,NA,NA,4.6907,NA,NA,168,3.139,3.194,3.17,3.545,3.515,3.596,185
"MCP.2.2785.15.2","2785-15_2","MCP-2",246.660722915447,2.26,0.03,2.469,NA,2.8365,NA,NA,28,2.469,2.469,2.469,2.549,2.526,2.577,186
"MMP.3.2788.55.1","2788-55_1","MMP-3",602.698346521185,3.35,0.04,NA,NA,5.4878,NA,NA,168,2.543,2.653,2.602,4.389,4.315,4.467,187
"MMP.7.2789.26.2","2789-26_2","MMP-7",1403.13675154513,3.16,0.05,NA,NA,6.0432,NA,NA,168,3.079,3.124,3.108,3.495,3.459,3.526,188
"NAP.2.2790.54.2","2790-54_2","NAP-2",3788.78533748437,3.19,0.04,NA,NA,5.8616,NA,NA,168,2.887,3.096,3.039,4.332,4.291,4.415,189
"SOD.2794.60.2","2794-60_2","SOD",678.265926015363,2.81,0.04,NA,NA,6.3274,NA,NA,168,2.913,2.946,2.932,3.344,3.33,3.398,190
"Alkaline.phosphatase..bone.2795.23.3","2795-23_3","Alkaline phosphatase, bone",82035.1544329818,4.95,0.02,NA,NA,7.3207,NA,NA,168,4.527,4.616,4.552,5.094,5.076,5.132,191
"Fibrinogen.2796.62.2","2796-62_2","Fibrinogen",130076.846613954,5.13,0.02,NA,NA,7.0531,NA,NA,168,5.068,5.097,5.085,5.249,5.244,5.263,192
"Apo.B.2797.56.2","2797-56_2","Apo B",11835.8649196186,4.03,0.04,NA,NA,5.1086,NA,NA,168,3.722,3.806,3.781,4.458,4.402,4.518,193
"ACE2.2805.6.2","2805-6_2","ACE2",366.606364249472,2.49,0.02,NA,NA,5.011,NA,NA,168,2.559,2.633,2.61,3.003,2.968,3.042,194
"Activin.RIB.2806.49.2","2806-49_2","Activin RIB",234.692926268646,2.3,0.02,2.51,NA,0,NA,NA,34,2.51,2.51,2.51,2.51,2.51,2.51,195
"ADAMTS.4.2809.25.2","2809-25_2","ADAMTS-4",376.617069714167,2.56,0.02,NA,NA,4.3954,NA,NA,168,2.545,2.577,2.564,2.795,2.78,2.841,196
"Angiopoietin.1.2811.27.1","2811-27_1","Angiopoietin-1",1159.84512119017,2.83,0.01,NA,NA,5.2393,NA,NA,168,2.647,2.75,2.727,3.583,3.519,3.648,197
"ART.2813.11.2","2813-11_2","ART",1619.94399390363,3.21,0.03,NA,NA,6.3871,NA,NA,168,2.814,2.906,2.866,3.408,3.362,3.435,198
"BCAM.2816.50.2","2816-50_2","BCAM",8247.07606127079,3.33,0.05,NA,NA,5.9704,NA,NA,168,3.117,3.199,3.174,3.577,3.551,3.607,199
"Cadherin.5.2819.23.2","2819-23_2","Cadherin-5",8794.27414883683,3.98,0.03,NA,NA,4.0264,NA,NA,168,3.593,3.666,3.648,4.197,4.144,4.275,200
"CD97.2822.56.2","2822-56_2","CD97",701.455298419971,2.81,0.03,NA,NA,7.3963,NA,NA,168,2.744,2.781,2.765,3.089,3.072,3.116,201
"COMMD7.2823.7.1","2823-7_1","COMMD7",1072.25974025909,3.03,0.02,NA,NA,7.3092,NA,NA,168,3.104,3.201,3.163,3.851,3.825,3.898,202
"EDA.2826.53.2","2826-53_2","EDA",1612.8723621704,3.35,0.02,NA,NA,8.4077,NA,NA,168,3.023,3.098,3.071,3.424,3.413,3.438,203
"Fractalkine.CX3CL.1.2827.23.2","2827-23_2","Fractalkine/CX3CL-1",3906.60948345936,3.56,0.05,NA,NA,8.4668,NA,NA,168,3.23,3.309,3.281,3.823,3.804,3.854,204
"HAI.1.2828.82.2","2828-82_2","HAI-1",7252.70478091247,4.02,0.03,NA,NA,4.804,NA,NA,168,3.534,3.578,3.561,4.162,4.094,4.22,205
"IL.27.2829.19.2","2829-19_2","IL-27",939.939714766781,3.02,0.03,NA,NA,4.3212,NA,NA,168,2.876,2.915,2.897,3.218,3.182,3.267,206
"Kallikrein.11.2831.29.1","2831-29_1","Kallikrein 11",1202.26443461741,3.1,0.02,NA,NA,7.0948,NA,NA,168,2.873,2.941,2.912,3.325,3.31,3.358,207
"Kallikrein.4.2833.20.1","2833-20_1","Kallikrein 4",343.004643943377,2.42,0.02,NA,NA,6.5311,NA,NA,168,2.472,2.506,2.491,2.732,2.704,2.742,208
"kallikrein.8.2834.54.1","2834-54_1","kallikrein 8",2575.13499041031,3.48,0.02,NA,NA,5.7226,NA,NA,168,3.18,3.24,3.218,3.659,3.62,3.695,209
"Ku70.2835.1.4","2835-1_4","Ku70",115.851056852473,2.03,0.03,NA,NA,4.047,NA,NA,168,2.119,2.157,2.145,2.386,2.357,2.427,210
"Met.2837.3.2","2837-3_2","Met",13155.2770877011,4.16,0.04,NA,NA,5.8658,NA,NA,168,3.863,3.961,3.94,4.311,4.297,4.342,211
"MMP.17.2838.53.1","2838-53_1","MMP-17",570.952527715281,2.71,0.03,2.996,NA,3.2997,NA,NA,31,2.996,2.996,2.996,3.112,3.082,3.144,212
"OX40.Ligand.2839.2.1","2839-2_1","OX40 Ligand",392.373799544861,2.64,0.02,2.735,NA,16.5416,NA,NA,35,2.735,2.738,2.736,2.844,2.836,2.845,213
"sFRP.3.2841.13.2","2841-13_2","sFRP-3",2651.55109300921,3.38,0.02,NA,NA,9.8561,NA,NA,168,3.295,3.349,3.326,3.649,3.638,3.659,214
"sICAM.2.2842.68.1","2842-68_1","sICAM-2",680.455924994638,3.01,0.03,NA,NA,4.3891,NA,NA,168,2.758,2.775,2.767,3.012,2.959,3.037,215
"SPINT2.2843.13.2","2843-13_2","SPINT2",915.798652132752,2.83,0.03,NA,NA,4.1901,NA,NA,168,2.941,2.991,2.96,3.446,3.421,3.535,216
"sTie.1.2844.53.2","2844-53_2","sTie-1",9475.45339764661,4.01,0.02,NA,NA,4.1989,NA,NA,168,3.802,3.844,3.817,4.202,4.173,4.272,217
"Ubiquitin.1.2846.24.2","2846-24_2","Ubiquitin+1",7385.84178120797,3.86,0.03,NA,NA,6.6992,NA,NA,168,3.9,3.959,3.933,4.517,4.474,4.555,218
"WIF.1.2848.2.2","2848-2_2","WIF-1",2984.00811593022,3.43,0.02,NA,NA,5.9308,NA,NA,168,3.241,3.279,3.259,3.672,3.654,3.727,219
"AIF1.2849.49.1","2849-49_1","AIF1",1321.90425344172,3.08,0.03,NA,NA,8.3254,NA,NA,168,3.136,3.176,3.159,3.633,3.6,3.656,220
"ARGI1.2850.3.2","2850-3_2","ARGI1",376.964106646244,2.51,0.03,NA,NA,3.9891,NA,NA,168,2.509,2.532,2.521,2.786,2.749,2.834,221
"C5a.2851.63.3","2851-63_3","C5a",23517.9790955837,4.14,0.04,NA,NA,5.1372,NA,NA,168,3.974,4.092,4.064,4.783,4.756,4.864,222
"CHK1.2853.68.2","2853-68_2","CHK1",327.566891936847,2.46,0.03,2.672,2.542,5.9598,NA,NA,168,2.497,2.514,2.505,2.726,2.696,2.744,223
"ERK.1.2855.49.2","2855-49_2","ERK-1",6924.68464322636,3.9,0.03,NA,NA,9.4057,NA,NA,168,4.03,4.148,4.087,4.971,4.95,5.014,224
"Glucocorticoid.receptor.2857.70.2","2857-70_2","Glucocorticoid receptor",117.598017406585,1.94,0.05,NA,NA,9,NA,NA,168,1.926,1.954,1.939,2.341,2.326,2.372,225
"Hat1.2858.29.2","2858-29_2","Hat1",192.930104705785,2.2,0.02,NA,NA,4.9753,NA,NA,168,2.345,2.373,2.363,2.687,2.654,2.731,226
"HDAC8.2859.69.2","2859-69_2","HDAC8",1193.16361150367,3.11,0.04,NA,NA,6.3829,NA,NA,168,3.18,3.222,3.208,3.538,3.522,3.573,227
"Karyopherin.a2.2860.19.2","2860-19_2","Karyopherin-a2",325.761682966063,2.5,0.02,NA,NA,3.6394,NA,NA,168,2.405,2.457,2.438,2.747,2.715,2.808,228
"MEK1.2864.2.3","2864-2_3","MEK1",168.888469479092,2.21,0.03,NA,NA,3.8586,NA,NA,168,2.283,2.342,2.321,2.572,2.543,2.609,229
"MOZ.2865.77.2","2865-77_2","MOZ",642.835718671386,2.77,0.03,3.033,NA,2.2716,NA,NA,23,3.033,3.033,3.033,3.096,3.079,3.13,230
"PKB.a.b.g.2867.52.2","2867-52_2","PKB a/b/g",913.061435293176,NA,NA,NA,NA,8.9048,NA,NA,168,3.118,3.212,3.171,4.022,3.994,4.063,231
"PKC.D.2869.68.3","2869-68_3","PKC-D",163.493315112983,2.16,0.02,2.37,NA,2.2554,NA,NA,32,2.37,2.37,2.37,2.443,2.423,2.481,232
"RAC1.2870.29.2","2870-29_2","RAC1",3276.42325685378,3.66,0.05,NA,NA,9.1181,NA,NA,168,3.751,3.891,3.843,4.874,4.836,4.91,233
"RAD51.2871.73.2","2871-73_2","RAD51",1588.54674859778,3.12,0.05,NA,NA,6.3669,NA,NA,168,2.957,3.024,2.99,3.429,3.404,3.466,234
"TBP.2875.15.2","2875-15_2","TBP",459.515325169775,2.65,0.02,NA,NA,4.9313,NA,NA,168,2.622,2.645,2.64,2.854,2.833,2.887,235
"Topoisomerase.I.2876.74.2","2876-74_2","Topoisomerase I",507.45787908065,2.66,0.02,NA,NA,6.304,NA,NA,168,2.717,2.74,2.735,3.116,3.079,3.151,236
"UBC9.2877.3.1","2877-3_1","UBC9",653.732385228796,2.85,0.03,NA,NA,6.1856,NA,NA,168,2.9,2.968,2.941,3.928,3.891,4.005,237
"YES.2878.66.2","2878-66_2","YES",618.87081141903,2.79,0.02,NA,NA,6.0226,NA,NA,168,2.917,2.952,2.933,3.464,3.431,3.52,238
"a1.Antichymotrypsin.2879.9.2","2879-9_2","a1-Antichymotrypsin",274473.234347854,5.47,0.05,5.549,5.363,4.8011,NA,NA,168,5.311,5.35,5.334,5.605,5.584,5.646,239
"C7.2888.49.2","2888-49_2","C7",1327.70013679008,2.94,0.04,NA,NA,4.3594,NA,NA,168,2.876,2.995,2.974,3.335,3.308,3.372,240
"Cardiotrophin.1.2889.37.2","2889-37_2","Cardiotrophin-1",467.089387482557,2.6,0.02,2.807,NA,3.0906,NA,NA,39,2.807,2.807,2.807,2.877,2.861,2.902,241
"CCL28.2890.59.2","2890-59_2","CCL28",8222.42649947071,3.62,0.04,NA,NA,6.9205,NA,NA,168,3.64,3.727,3.711,4.346,4.304,4.382,242
"CD22.2891.1.3","2891-1_3","CD22",690.557744219684,2.8,0.03,NA,NA,4.2717,NA,NA,168,2.887,2.941,2.928,3.176,3.154,3.212,243
"HCC.1.2900.53.3","2900-53_3","HCC-1",5937.45047302195,3.75,0.03,NA,NA,6.3863,NA,NA,168,3.532,3.594,3.563,4.125,4.091,4.171,244
"IL.4.2906.55.3","2906-55_3","IL-4",317.614265257288,2.44,0.02,NA,NA,4.6298,NA,NA,168,2.563,2.593,2.59,2.761,2.73,2.772,245
"Midkine.2911.27.2","2911-27_2","Midkine",15867.1891895157,4.01,0.03,NA,NA,6.3269,NA,NA,168,4.09,4.124,4.106,4.515,4.48,4.551,246
"MPIF.1.2913.1.2","2913-1_2","MPIF-1",2259.95608443437,3.47,0.02,NA,NA,4.7009,NA,NA,168,3.11,3.197,3.154,3.673,3.641,3.739,247
"NAP.2.2914.65.3","2914-65_3","NAP-2",252.522453344769,2.21,0.18,3.018,2.282,5.0685,NA,NA,168,2.059,2.172,2.114,3.102,3.066,3.198,248
"PCNA.2915.6.2","2915-6_2","PCNA",152.300033898479,2.09,0.02,NA,NA,2.976,NA,NA,168,2.125,2.144,2.14,2.344,2.328,2.419,249
"sRANKL.2917.3.2","2917-3_2","sRANKL",1170.30753166884,2.98,0.03,NA,NA,6.189,NA,NA,168,2.886,2.936,2.912,3.24,3.215,3.266,250
"PAI.1.2925.9.1","2925-9_1","PAI-1",1697.85266242602,2.68,0.03,NA,NA,3.8449,NA,NA,168,2.551,2.737,2.669,3.619,3.532,3.71,251
"Apo.E3.2937.10.2","2937-10_2","Apo E3",153497.038210314,5.28,0.03,NA,NA,7.9014,NA,NA,168,4.933,4.984,4.959,5.305,5.285,5.323,252
"Apo.E4.2938.55.2","2938-55_2","Apo E4",109951.206687935,5.13,0.04,NA,NA,6.7856,NA,NA,168,4.844,4.896,4.887,5.192,5.171,5.211,253
"Artemin.2939.10.2","2939-10_2","Artemin",609.256259749656,2.78,0.02,NA,NA,2.8155,NA,NA,168,2.793,2.817,2.809,3.035,2.971,3.085,254
"Cytochrome.c.2942.50.2","2942-50_2","Cytochrome c",2048.80204995751,3.29,0.03,NA,NA,6.591,NA,NA,168,3.095,3.158,3.14,3.483,3.455,3.5,255
"Cytochrome.P450.3A4.2943.5.2","2943-5_2","Cytochrome P450 3A4",10294.3753665927,4.08,0.04,NA,NA,7.709,NA,NA,168,4.06,4.111,4.087,4.64,4.622,4.687,256
"DAN.2944.66.2","2944-66_2","DAN",1044.96080263824,2.94,0.04,NA,NA,5.1632,NA,NA,168,2.93,2.989,2.97,3.459,3.42,3.513,257
"ER.2945.25.1","2945-25_1","ER",921.93435745156,2.93,0.02,NA,NA,4.6739,NA,NA,168,3.022,3.052,3.039,3.33,3.292,3.367,258
"Factor.D.2946.52.2","2946-52_2","Factor D",487.977727286486,2.59,0.05,2.848,2.631,6.8001,NA,NA,168,2.526,2.591,2.573,2.924,2.912,2.954,259
"Growth.hormone.receptor.2948.58.2","2948-58_2","Growth hormone receptor",969.170083947291,3.06,0.03,NA,NA,4.3269,NA,NA,168,2.587,2.676,2.637,3.247,3.226,3.345,260
"GX.2949.6.2","2949-6_2","GX",461.423809087644,2.73,0.02,2.822,NA,3.3087,NA,NA,34,2.822,2.822,2.822,2.924,2.888,2.944,261
"IGFBP.4.2950.57.2","2950-57_2","IGFBP-4",16710.9061431071,4.27,0.03,NA,NA,5.2555,NA,NA,168,4.037,4.1,4.063,4.347,4.331,4.377,262
"IGF.I.2952.75.2","2952-75_2","IGF-I",668.651772197639,2.84,0.04,NA,NA,5.4568,NA,NA,168,2.688,2.729,2.715,3.148,3.103,3.189,263
"Luteinizing.hormone.2953.31.2","2953-31_2","Luteinizing hormone",1923.97754933168,3.18,0.02,NA,NA,9.4117,NA,NA,168,2.545,2.731,2.658,3.896,3.863,3.939,264
"MMP.8.2954.56.2","2954-56_2","MMP-8",1561.34903796965,3.09,0.05,NA,NA,7.0702,NA,NA,168,3.019,3.045,3.03,3.482,3.453,3.522,265
"NG36.2957.21.2","2957-21_2","NG36",1624.42625419354,3.25,0.03,NA,NA,5.16,NA,NA,168,3.272,3.326,3.302,3.666,3.622,3.695,266
"Properdin.2960.66.2","2960-66_2","Properdin",210571.698391176,5.38,0.06,5.462,5.226,5.402,NA,NA,168,5.239,5.263,5.251,5.438,5.42,5.46,267
"Protein.C.2961.1.2","2961-1_2","Protein C",2232.54386161674,3.45,0.02,NA,NA,8.2436,NA,NA,168,3.234,3.276,3.26,3.532,3.516,3.543,268
"PTHrP.2962.50.2","2962-50_2","PTHrP",797.627281738481,2.77,0.02,NA,NA,5.6362,NA,NA,168,2.831,2.858,2.851,3.151,3.131,3.193,269
"SCGF.beta.2966.65.2","2966-65_2","SCGF-beta",672.047546628296,2.73,0.02,NA,NA,6.5883,NA,NA,168,2.697,2.729,2.715,3.117,3.091,3.157,270
"VCAM.1.2967.8.1","2967-8_1","VCAM-1",6611.49996541045,3.83,0.02,NA,NA,3.6853,NA,NA,168,3.614,3.684,3.659,4.071,4.037,4.149,271
"TNFSF15.2968.61.1","2968-61_1","TNFSF15",982.652582829532,2.97,0.04,NA,NA,4.5391,NA,NA,168,2.951,3,2.982,3.333,3.312,3.393,272
"ALK.1.2969.11.1","2969-11_1","ALK-1",3126.79925637611,3.13,0.02,NA,NA,12.633,NA,NA,168,3.233,3.252,3.244,3.512,3.502,3.523,273
"AREG.2970.60.2","2970-60_2","AREG",913.902783348755,2.86,0.02,NA,NA,6.4764,NA,NA,168,2.936,3.055,3.008,3.994,3.924,4.036,274
"BMP.7.2972.57.2","2972-57_2","BMP-7",878.213279898006,2.93,0.03,NA,NA,7.0616,NA,NA,168,2.842,2.872,2.861,3.195,3.169,3.221,275
"CD36.ANTIGEN.2973.15.2","2973-15_2","CD36 ANTIGEN",9438.43523260514,4.02,0.05,NA,NA,6.3778,NA,NA,168,3.782,3.902,3.863,4.364,4.335,4.392,276
"contactin.1.2974.61.2","2974-61_2","contactin-1",454.255296738871,2.64,0.03,NA,NA,7.1354,NA,NA,168,2.46,2.5,2.484,2.89,2.866,2.924,277
"CTGF.2975.19.2","2975-19_2","CTGF",1261.82753459067,3.14,0.02,NA,NA,3.5217,NA,NA,168,3.135,3.205,3.18,3.511,3.47,3.568,278
"Desmoglein.1.2976.58.2","2976-58_2","Desmoglein-1",1807.17412601093,3.19,0.04,3.499,3.342,5.0908,NA,NA,168,3.276,3.316,3.298,3.523,3.508,3.552,279
"EDAR.2977.7.2","2977-7_2","EDAR",533.70343745683,2.65,0.04,NA,NA,6.4588,NA,NA,168,2.737,2.775,2.75,3.575,3.511,3.622,280
"ENA.78.2979.8.2","2979-8_2","ENA-78",657.20370028709,2.8,0.02,3.02,NA,4.2522,NA,NA,28,3.02,3.02,3.02,3.103,3.086,3.122,281
"ESAM.2981.9.3","2981-9_3","ESAM",2294.56307251929,3.34,0.02,NA,NA,4.8367,NA,NA,168,3.348,3.408,3.377,3.696,3.684,3.745,282
"Galectin.4.2982.82.2","2982-82_2","Galectin-4",765.420342071843,2.87,0.02,NA,NA,7.9198,NA,NA,168,2.988,3.028,3.017,3.259,3.247,3.271,283
"Gro.a.2985.35.1","2985-35_1","Gro-a",2949.17130750827,3.26,0.02,NA,NA,12.0303,NA,NA,168,3.286,3.316,3.3,4.18,4.144,4.203,284
"Gro.b.g.2986.49.2","2986-49_2","Gro-b/g",1837.80741736415,2.86,0.02,NA,NA,7.2178,NA,NA,168,2.732,2.869,2.795,3.94,3.863,3.97,285
"Histone.H1.2.2987.37.3","2987-37_3","Histone H1.2",398.107170553497,2.62,0.04,NA,NA,4.2426,NA,NA,168,2.608,2.657,2.638,3.338,3.257,3.411,286
"ICOS.2988.57.2","2988-57_2","ICOS",855.066712884683,2.71,0.02,NA,NA,4.4248,NA,NA,168,2.777,2.815,2.792,3.097,3.045,3.127,287
"IFN.g.2989.17.2","2989-17_2","IFN-g",302.13427798433,2.5,0.03,NA,NA,5.7665,NA,NA,168,2.566,2.686,2.638,3.493,3.441,3.553,288
"IL.1.sRI.2991.9.2","2991-9_2","IL-1 sRI",6848.57159125856,3.86,0.03,NA,NA,7.0601,NA,NA,168,3.354,3.535,3.483,4.075,4.054,4.102,289
"IL.17.sR.2992.59.2","2992-59_2","IL-17 sR",689.445593170922,2.81,0.03,NA,NA,4.1194,NA,NA,168,2.503,2.674,2.574,3.053,3.031,3.11,290
"IL.18.Rb.2993.1.2","2993-1_2","IL-18 Rb",474.13279957862,2.62,0.02,2.852,NA,2.2721,NA,NA,30,2.852,2.852,2.852,2.898,2.882,2.921,291
"IL.1Rrp2.2994.71.2","2994-71_2","IL-1Rrp2",812.082216249984,2.88,0.02,NA,NA,5.566,NA,NA,168,2.929,2.966,2.944,3.14,3.13,3.162,292
"JAM.B.2997.8.1","2997-8_1","JAM-B",4866.31256073199,3.66,0.02,NA,NA,7.3525,NA,NA,168,3.689,3.725,3.709,3.921,3.908,3.932,293
"JAM.C.2998.53.2","2998-53_2","JAM-C",1244.80120484467,3.1,0.03,NA,NA,7.1891,NA,NA,168,3.221,3.279,3.249,4.041,3.996,4.087,294
"LSAMP.2999.6.2","2999-6_2","LSAMP",1554.17529077158,3.17,0.03,NA,NA,6.0545,NA,NA,168,2.988,3.065,3.035,3.397,3.382,3.429,295
"MBL.3000.66.1","3000-66_1","MBL",4812.82421867602,3.64,0.02,NA,NA,6.4521,NA,NA,168,3.036,3.194,3.145,4.037,4.013,4.106,296
"NKp30.3003.29.2","3003-29_2","NKp30",628.492356037751,2.63,0.02,NA,NA,5.7014,NA,NA,168,2.593,2.641,2.622,2.882,2.86,2.903,297
"PD.L2.3004.67.2","3004-67_2","PD-L2",3100.27344199819,3.51,0.02,NA,NA,5.3985,NA,NA,168,3.416,3.485,3.466,3.814,3.785,3.843,298
"PTP.1B.3005.5.2","3005-5_2","PTP-1B",981.974024865488,2.98,0.05,NA,NA,5.6881,NA,NA,168,3.085,3.13,3.109,3.884,3.833,3.95,299
"Siglec.9.3007.7.2","3007-7_2","Siglec-9",13768.9239120096,4.29,0.03,NA,NA,5.5016,NA,NA,168,2.41,2.462,2.444,4.754,4.699,4.848,300
"TGF.b.R.III.3009.3.2","3009-3_2","TGF-b R III",28820.39972672,4.45,0.02,NA,NA,6.1399,NA,NA,168,4.219,4.291,4.257,4.644,4.615,4.669,301
"TSLP.3010.53.2","3010-53_2","TSLP",191.999456795429,2.24,0.02,NA,NA,3.7413,NA,NA,168,2.368,2.41,2.403,2.681,2.661,2.745,302
"CTLA.4.3022.4.2","3022-4_2","CTLA-4",235.450707618494,2.31,0.03,NA,NA,4.9658,NA,NA,168,2.219,2.256,2.243,2.673,2.608,2.707,303
"a2.Antiplasmin.3024.18.2","3024-18_2","a2-Antiplasmin",2566.84710166787,3.43,0.03,NA,NA,9.2716,NA,NA,168,3.288,3.321,3.304,3.502,3.497,3.51,304
"bFGF.3025.50.1","3025-50_1","bFGF",1115.57815135085,3.02,0.02,NA,NA,5.507,NA,NA,168,2.822,2.937,2.865,3.941,3.871,4.006,305
"Calpastatin.3026.5.2","3026-5_2","Calpastatin",11153.2130955985,4.22,0.03,NA,NA,4.8891,NA,NA,168,3.729,3.852,3.777,4.23,4.187,4.259,306
"Ck.b.8.1.3028.36.2","3028-36_2","Ck-b-8-1",60575.9173874995,4.83,0.03,NA,NA,4.7751,NA,NA,168,4.368,4.536,4.47,5.094,5.054,5.152,307
"DC.SIGN.3029.52.2","3029-52_2","DC-SIGN",2265.1658212546,3.36,0.02,NA,NA,8.0388,NA,NA,168,2.995,3.049,3.022,3.618,3.59,3.656,308
"DC.SIGNR.3030.3.2","3030-3_2","DC-SIGNR",54613.4987505724,4.74,0.05,4.944,4.727,6.0645,NA,NA,168,4.693,4.754,4.727,4.968,4.956,4.982,309
